"color","image","lighting","model","year"
"Red","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-449.jpg","Light","Y","2020–2024"
"Red","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-450.jpg","Light","Y","2020–2024"
"Red","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-451.jpg","Light","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-452.jpg","Light","3","2017–2023"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-453.jpg","Light","3","2017–2023"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-454.jpg","Light","3","2017–2023"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-455.jpg","Light","Y","2020–2024"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-456.jpg","Light","Y","2020–2024"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-457.jpg","Light","Y","2020–2024"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-463.jpg","Light","Y","2020–2024"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-464.jpg","Light","Y","2020–2024"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-465.jpg","Light","Y","2020–2024"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-466.jpg","Light","Y","2020–2024"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-467.jpg","Light","3","2024–nå"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-468.jpg","Light","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-469.jpg","Light","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-470.jpg","Light","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-471.jpg","Light","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-472.jpg","Light","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-473.jpg","Light","Y","2020–2024"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-474.jpg","Light","3","2017–2023"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-475.jpg","Light","3","2017–2023"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-476.jpg","Light","3","2017–2023"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-480.jpg","Light","Y","2020–2024"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-481.jpg","Light","Y","2020–2024"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-482.jpg","Light","Y","2020–2024"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-484.jpg","Light","3","2024–nå"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-485.jpg","Light","3","2024–nå"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-486.jpg","Light","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-488.jpg","Light","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-489.jpg","Light","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-490.jpg","Light","3","2024–nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-491.jpg","Light","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-492.jpg","Light","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-494.jpg","Light","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-495.jpg","Light","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-496.jpg","Light","Y","2025-nå"
"Red","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-499.jpg","Light","Y","2025-nå"
"Red","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-500.jpg","Light","Y","2025-nå"
"Red","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-501.jpg","Light","Y","2025-nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-503.jpg","Light","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-504.jpg","Light","Y","2020–2024"
"Red","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-505.jpg","Light","3","2017–2023"
"Red","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-506.jpg","Light","3","2017–2023"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-507.jpg","Light","Y","2020–2024"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-508.jpg","Light","Y","2020–2024"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-509.jpg","Light","Y","2020–2024"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-518.jpg","Light","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-520.jpg","Light","3","2017–2023"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-521.jpg","Light","3","2017–2023"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-522.jpg","Light","3","2017–2023"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-524.jpg","Light","S","2012–2015"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-525.jpg","Light","S","2012–2015"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-526.jpg","Light","S","2012–2015"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-527.jpg","Light","S","2012–2015"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-530.jpg","Light","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-531.jpg","Light","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-532.jpg","Light","Y","2020–2024"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-533.jpg","Light","3","2024–nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-534.jpg","Light","3","2017–2023"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121357905_iOS.jpg","Light","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121400950_iOS.jpg","Light","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121403720_iOS.jpg","Light","3","2024–nå"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121429571_iOS.jpg","Light","X","2016–2020"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121435390_iOS.jpg","Light","X","2016–2020"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121437973_iOS.jpg","Light","X","2016–2020"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121506276_iOS.jpg","Light","Y","2020–2024"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121508389_iOS.jpg","Light","Y","2020–2024"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121510599_iOS.jpg","Light","Y","2020–2024"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121556791_iOS.jpg","Light","3","2017–2023"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121600419_iOS.jpg","Light","3","2017–2023"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121604152_iOS.jpg","Light","3","2017–2023"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121636970_iOS.jpg","Light","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121639576_iOS.jpg","Light","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121642313_iOS.jpg","Light","Y","2020–2024"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121718304_iOS.jpg","Light","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121722670_iOS.jpg","Light","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_121726917_iOS.jpg","Light","Y","2025-nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_122016402_iOS.jpg","Light","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_122018932_iOS.jpg","Light","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_122021890_iOS.jpg","Light","Y","2020–2024"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_122035090_iOS.jpg","Light","3","2024–nå"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_122037077_iOS.jpg","Light","3","2024–nå"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_122039320_iOS.jpg","Light","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_122056676_iOS.jpg","Light","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_122058939_iOS.jpg","Light","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_122101555_iOS.jpg","Light","3","2024–nå"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_122240454_iOS.jpg","Light","Y","2025-nå"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_122244062_iOS.jpg","Light","Y","2025-nå"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_122248227_iOS.jpg","Light","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_122413257_iOS.jpg","Light","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_122415495_iOS.jpg","Light","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C20260129_122417879_iOS.jpg","Light","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-100.jpg","Medium","X","2016–2020"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-101.jpg","Medium","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-102.jpg","Medium","Y","2020–2024"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-103.jpg","Medium","S","2012–2015"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-104.jpg","Medium","Y","2020–2024"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-107.jpg","Medium","X","2016–2020"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-108.jpg","Medium","X","2016–2020"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-109.jpg","Medium","X","2016–2020"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-116.jpg","Medium","3","2017–2023"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-118.jpg","Medium","3","2017–2023"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-119.jpg","Medium","3","2017–2023"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-120.jpg","Medium","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-121.jpg","Medium","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-122.jpg","Medium","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-123.jpg","Medium","3","2017–2023"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-137.jpg","Medium","Y","2020–2024"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-138.jpg","Medium","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-140.jpg","Medium","Y","2025-nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-141.jpg","Medium","Y","2025-nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-142.jpg","Medium","Y","2025-nå"
"Red","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-143.jpg","Medium","S","2016–2020"
"Red","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-144.jpg","Medium","S","2016–2020"
"Red","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-145.jpg","Medium","S","2016–2020"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-146.jpg","Medium","Y","2020–2024"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-147.jpg","Medium","Y","2020–2024"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-148.jpg","Medium","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-149.jpg","Medium","3","2017–2023"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-150.jpg","Medium","3","2017–2023"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-151.jpg","Medium","3","2017–2023"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-152.jpg","Medium","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-153.jpg","Medium","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-154.jpg","Medium","Y","2020–2024"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-158.jpg","Medium","3","2024–nå"
"Red","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-16.jpg","Medium","3","2017–2023"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-160.jpg","Medium","3","2024–nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-163.jpg","Medium","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-167.jpg","Medium","Y","2025-nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-168.jpg","Medium","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-169.jpg","Medium","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-170.jpg","Medium","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-171.jpg","Medium","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-172.jpg","Medium","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-173.jpg","Medium","3","2024–nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-174.jpg","Medium","Y","2025-nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-175.jpg","Medium","Y","2025-nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-176.jpg","Medium","Y","2025-nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-189.jpg","Medium","Y","2025-nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-190.jpg","Medium","Y","2025-nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-191.jpg","Medium","Y","2025-nå"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-195.jpg","Medium","Y","2020–2024"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-196.jpg","Medium","Y","2020–2024"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-197.jpg","Medium","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-20.jpg","Medium","Y","2020–2024"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-201.jpg","Medium","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-202.jpg","Medium","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-203.jpg","Medium","Y","2025-nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-207.jpg","Medium","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-208.jpg","Medium","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-209.jpg","Medium","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-21.jpg","Medium","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-210.jpg","Medium","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-211.jpg","Medium","Y","2020–2024"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-212.jpg","Medium","Y","2020–2024"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-213.jpg","Medium","Y","2020–2024"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-214.jpg","Medium","Y","2020–2024"
"Light gray/Silver","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-215.jpg","Medium","Y","2020–2024"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-216.jpg","Medium","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-217.jpg","Medium","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-218.jpg","Medium","Y","2025-nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-22.jpg","Medium","Y","2020–2024"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-225.jpg","Medium","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-226.jpg","Medium","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-227.jpg","Medium","Y","2025-nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-229.jpg","Medium","3","2017–2023"
"Blue","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-23.jpg","Medium","3","2017–2023"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-230.jpg","Medium","3","2017–2023"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-231.jpg","Medium","Y","2025-nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-232.jpg","Medium","Y","2025-nå"
"White","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-233.jpg","Medium","Y","2025-nå"
"Black/Dark gray","/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Clow-light%5C%25~n1-234.jpg","Medium","3","2017–2023"
